"Amanda Pennington",,,,
"Charlotte MacKenzie",,,,
"Duncan Odgers","Q76130587","2019 United Kingdom general election","Exeter","UK Independence Party"
"Harry Blakeley",,,,
"Ian Wright",,,,
"Jayne Kirkham","Q63929203","2019 European Parliament election in South West England","South West England","Labour Party"
"Jennifer Forbes","Q76364014","2019 United Kingdom general election","Truro and Falmouth","Labour Party"
"John Hyslop",,,,
"Karen Westbrook",,,,
"Loic Rich",,,,
"Paul Nicholson","Q98600433","2001 United Kingdom general election","Bournemouth East","Labour Party"
"Rik Evans",,,,
"Rob Nolan",,,,
"Ruth Gripper","Q75839014","2019 United Kingdom general election","Truro and Falmouth","Liberal Democrats"
"Simon Rix",,,,
"Stanley Guffogg",,,,
"Stephen Richardson","Q58492297","Port Adelaide ward election, 2018","Port Adelaide ward",
"Stuart Roden",,,,
"Terrye Teverson",,,,
"Tom Scott","Q63929173","2019 European Parliament election in South West England","South West England","Green Party of England and Wales"
"Tom Scott","Q63929173","2019 United Kingdom general election","Truro and Falmouth","Green Party of England and Wales"
